"qid","gameLabel","publisherLabel","otherPublishers"
"http://www.wikidata.org/entity/Q7752487","The Mountain Witch","Arkenstone Publishing  ","Timfire Publishing"
"http://www.wikidata.org/entity/Q90818594","Honor + Intrigue","Basic Action Games ",
"http://www.wikidata.org/entity/Q70944886","Beast Hunters","Berengad Games ",
"http://www.wikidata.org/entity/Q71205904","Hearts & Souls","Better Mousetrap Games ",
"http://www.wikidata.org/entity/Q5242587","Dawning Star","Blue Devil Games",
"http://www.wikidata.org/entity/Q68249074","Conspiracy of Shadows","Bob Goat Press ",
"http://www.wikidata.org/entity/Q90610986","Corporia","Brabblemark Press ",
"http://www.wikidata.org/entity/Q70484820","Delving Deeper","Brave Halfling Publishing ",
"http://www.wikidata.org/entity/Q104853577","Chronica Feudalis","Cellar Games",
"http://www.wikidata.org/entity/Q78091391","Technoir","Cellar Games",
"http://www.wikidata.org/entity/Q16967584","Dust Devils","Chimera Creative ",
"http://www.wikidata.org/entity/Q70946018","Nine Worlds","Chimera Creative ",
"http://www.wikidata.org/entity/Q70666681","OpenQuest","D101 Games ",
"http://www.wikidata.org/entity/Q77428317","Legends of Alyria","Dark Omen Games ",
"http://www.wikidata.org/entity/Q3631244","Primetime Adventures","Dog Eared Designs ",
"http://www.wikidata.org/entity/Q68521932","The Sprawl","Ardens Ludere ",
"http://www.wikidata.org/entity/Q7760683","The Riddle of Steel","Driftwood Publishing ",
"http://www.wikidata.org/entity/Q78106494","Faery's Tale","Firefly Games",
"http://www.wikidata.org/entity/Q70485112","Swords & Wizardry","Frog God Games ",
"http://www.wikidata.org/entity/Q3214557","Labyrinth Lord","Goblinoid Games ",
"http://www.wikidata.org/entity/Q6943678","Mutant Future","Goblinoid Games ",
"http://www.wikidata.org/entity/Q68624889","Cthulhu Dark","Graham Walmsley ",
"http://www.wikidata.org/entity/Q68625987","Play Unsafe","Graham Walmsley ",
"http://www.wikidata.org/entity/Q64524590","Carry: A Game about War","Hamsterprophet Productions ",
"http://www.wikidata.org/entity/Q64532667","Serial Homicide Unit","Incarnadine Press ",
"http://www.wikidata.org/entity/Q8027994","With Great Power...","Incarnadine Press ",
"http://www.wikidata.org/entity/Q104853529","Cepheus Engine","Independence Games ",
"http://www.wikidata.org/entity/Q90206498","Unsung","Ivanhoe Unbound ",
"http://www.wikidata.org/entity/Q78089496","Symbaroum","JÃ¤rnringen ",
"http://www.wikidata.org/entity/Q3356433","Orkworld","John Wick Presents",
"http://www.wikidata.org/entity/Q3256682","Little Fears","Key 20 Publishing ",
"http://www.wikidata.org/entity/Q90725732","Wyrd is Bond","Key 20 Publishing ",
"http://www.wikidata.org/entity/Q3347723","OSRIC","Knights-n-Knaves","Black Blade Publishing and Usherwood Publishing "
"http://www.wikidata.org/entity/Q90741191","Roanoke","KNRPG",
"http://www.wikidata.org/entity/Q5254004","Deliria","Laughing Pan Productions",
"http://www.wikidata.org/entity/Q68029775","Dog Eat Dog","Liwanag Press ",
"http://www.wikidata.org/entity/Q71206688","Simply Roleplaying","MicroTactix ",
"http://www.wikidata.org/entity/Q5035301","Capes","Muse of Fire Games ",
"http://www.wikidata.org/entity/Q90839618","Old-School Essentials Retro Adventure Game","Necrotic Gnome ",
"http://www.wikidata.org/entity/Q90840952","B/X Essentials","Necrotic Gnome ",
"http://www.wikidata.org/entity/Q67962822","Thou Art But A Warrior","Peach Pants Press ",
"http://www.wikidata.org/entity/Q72229223","FU: The Freeform/Universal RPG","Peril Planet",
"http://www.wikidata.org/entity/Q67396358","@ctive8","Postmortem Studios ",
"http://www.wikidata.org/entity/Q70486236","Cloak of Steel","Postmortem Studios ",
"http://www.wikidata.org/entity/Q105349648","Contenders","Prince of Darkness Games",
"http://www.wikidata.org/entity/Q64524565","Labyrinths & Lycanthropes","Prince of Darkness Games ",
"http://www.wikidata.org/entity/Q1512399","The Pool","Random Order Creations ",
"http://www.wikidata.org/entity/Q64560508","Tremulus","Reality Blurs ",
"http://www.wikidata.org/entity/Q77075067","Covenant","Realm Publishing",
"http://www.wikidata.org/entity/Q70792068","Dungeonesque","Rogue Comet ",
"http://www.wikidata.org/entity/Q5225908","Darwin's World","RPGObjects ",
"http://www.wikidata.org/entity/Q70926395","Index Card RPG","Runehammer Games ",
"http://www.wikidata.org/entity/Q22662587","Shadow of the Demon Lord","Schwalb Entertainment ",
"http://www.wikidata.org/entity/Q70944698","Questers of the Middle Realms","Silver Branch Games ",
"http://www.wikidata.org/entity/Q70491852","Freemarket","Sorencrane MRCZ ",
"http://www.wikidata.org/entity/Q70948479","Tomorrow Knights","Spectrum Games ",
"http://www.wikidata.org/entity/Q90729301","Hellboy Sourcebook and Roleplaying Game","Steve Jackson Games ",
"http://www.wikidata.org/entity/Q77430369","Steal Away Jordan","Stone Baby Games ",
"http://www.wikidata.org/entity/Q69367342","Star Drakkar","Studio Kortex ",
"http://www.wikidata.org/entity/Q67889953","Under the Bed","the glyphpress ",
"http://www.wikidata.org/entity/Q7499815","Shock: Social Science Fiction","the glyphpress ",
"http://www.wikidata.org/entity/Q77995878","Part-Time Gods","Third Eye Games ",
"http://www.wikidata.org/entity/Q68389167","Fvlminata","Thyrsus Games ",
"http://www.wikidata.org/entity/Q91811676","Fastlane","Twisted Confessions ",
"http://www.wikidata.org/entity/Q77274294","Blowback","Two Scooters Press ",
"http://www.wikidata.org/entity/Q70926609","Rats in the Walls","Wolves Den Publishing ",
"http://www.wikidata.org/entity/Q70950463","The Magical Land of Yeld","Yeld",
